station_id,station_name,series_ticker,event_ticker,market_date,winning_ticker,yes_sub_title,no_sub_title,result,close_time,volume_fp
KBOS,Boston Logan,KXHIGHTBOS,KXHIGHTBOS-26APR04,2026-04-04,KXHIGHTBOS-26APR04-B62.5,62° to 63°,62° to 63°,yes,2026-04-05T05:00:00Z,14140.00
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR04,2026-04-04,KXHIGHTDC-26APR04-B84.5,84° to 85°,84° to 85°,yes,2026-04-05T05:00:00Z,14073.00
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR04,2026-04-04,KXHIGHDEN-26APR04-T61,60° or below,60° or below,yes,2026-04-05T06:59:00Z,23490.00
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR04,2026-04-04,KXHIGHTDAL-26APR04-B74.5,74° to 75°,74° to 75°,yes,2026-04-05T06:00:00Z,38596.00
KHOU,Houston Hobby,KXHIGHTHOU,KXHIGHTHOU-26APR04,2026-04-04,KXHIGHTHOU-26APR04-B81.5,81° to 82°,81° to 82°,yes,2026-04-05T06:00:00Z,12575.00
KLAS,Las Vegas Reid International,KXHIGHTLV,KXHIGHTLV-26APR04,2026-04-04,KXHIGHTLV-26APR04-B78.5,78° to 79°,78° to 79°,yes,2026-04-05T08:00:00Z,12346.00
KLAX,Los Angeles International,KXHIGHLAX,KXHIGHLAX-26APR04,2026-04-04,KXHIGHLAX-26APR04-T85,86° or above,86° or above,yes,2026-04-05T07:59:00Z,67555.00
KMIA,Miami International,KXHIGHMIA,KXHIGHMIA-26APR04,2026-04-04,KXHIGHMIA-26APR04-B82.5,82° to 83°,82° to 83°,yes,2026-04-05T04:59:00Z,35959.00
KMSP,Minneapolis St Paul,KXHIGHTMIN,KXHIGHTMIN-26APR04,2026-04-04,KXHIGHTMIN-26APR04-B38.5,38° to 39°,38° to 39°,yes,2026-04-05T06:00:00Z,9922.00
KMSY,New Orleans Armstrong,KXHIGHTNOLA,KXHIGHTNOLA-26APR04,2026-04-04,KXHIGHTNOLA-26APR04-B82.5,82° to 83°,82° to 83°,yes,2026-04-05T06:00:00Z,9637.00
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR04,2026-04-04,KXHIGHNY-26APR04-B72.5,72° to 73°,72° to 73°,yes,2026-04-05T04:59:00Z,102827.00
KOKC,Oklahoma City Will Rogers,KXHIGHTOKC,KXHIGHTOKC-26APR04,2026-04-04,KXHIGHTOKC-26APR04-B63.5,63° to 64°,63° to 64°,yes,2026-04-05T06:00:00Z,6604.00
KORD,Chicago OHare,KXHIGHCHI,KXHIGHCHI-26APR04,2026-04-04,KXHIGHCHI-26APR04-B59.5,59° to 60°,59° to 60°,yes,2026-04-05T05:59:00Z,32872.00
KPHL,Philadelphia International,KXHIGHPHIL,KXHIGHPHIL-26APR04,2026-04-04,KXHIGHPHIL-26APR04-B84.5,84° to 85°,84° to 85°,yes,2026-04-05T04:59:00Z,14706.00
KPHX,Phoenix Sky Harbor,KXHIGHTPHX,KXHIGHTPHX-26APR04,2026-04-04,KXHIGHTPHX-26APR04-B90.5,90° to 91°,90° to 91°,yes,2026-04-05T07:00:00Z,16507.00
KSAT,San Antonio International,KXHIGHTSATX,KXHIGHTSATX-26APR04,2026-04-04,KXHIGHTSATX-26APR04-B79.5,79° to 80°,79° to 80°,yes,2026-04-05T06:00:00Z,6994.00
KSEA,Seattle Tacoma,KXHIGHTSEA,KXHIGHTSEA-26APR04,2026-04-04,KXHIGHTSEA-26APR04-B63.5,63° to 64°,63° to 64°,yes,2026-04-05T08:00:00Z,8592.00
KSFO,San Francisco International,KXHIGHTSFO,KXHIGHTSFO-26APR04,2026-04-04,KXHIGHTSFO-26APR04-B80.5,80° to 81°,80° to 81°,yes,2026-04-05T08:00:00Z,20646.00
KATL,Atlanta Hartsfield,KXHIGHTATL,KXHIGHTATL-26APR05,2026-04-05,KXHIGHTATL-26APR05-B71.5,71° to 72°,71° to 72°,yes,2026-04-06T05:00:00Z,11430.00
KAUS,Austin Bergstrom,KXHIGHAUS,KXHIGHAUS-26APR05,2026-04-05,KXHIGHAUS-26APR05-B64.5,64° to 65°,64° to 65°,yes,2026-04-06T05:59:00Z,27604.00
KBOS,Boston Logan,KXHIGHTBOS,KXHIGHTBOS-26APR05,2026-04-05,KXHIGHTBOS-26APR05-T61,60° or below,60° or below,yes,2026-04-06T05:00:00Z,11541.00
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR05,2026-04-05,KXHIGHTDC-26APR05-B73.5,73° to 74°,73° to 74°,yes,2026-04-06T05:00:00Z,31188.00
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR05,2026-04-05,KXHIGHDEN-26APR05-B66.5,66° to 67°,66° to 67°,yes,2026-04-06T06:59:00Z,22477.00
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR05,2026-04-05,KXHIGHTDAL-26APR05-B70.5,70° to 71°,70° to 71°,yes,2026-04-06T06:00:00Z,11821.00
KHOU,Houston Hobby,KXHIGHTHOU,KXHIGHTHOU-26APR05,2026-04-05,KXHIGHTHOU-26APR05-B67.5,67° to 68°,67° to 68°,yes,2026-04-06T06:00:00Z,9146.00
KLAS,Las Vegas Reid International,KXHIGHTLV,KXHIGHTLV-26APR05,2026-04-05,KXHIGHTLV-26APR05-B83.5,83° to 84°,83° to 84°,yes,2026-04-06T08:00:00Z,21932.00
KLAX,Los Angeles International,KXHIGHLAX,KXHIGHLAX-26APR05,2026-04-05,KXHIGHLAX-26APR05-B78.5,78° to 79°,78° to 79°,yes,2026-04-06T07:59:00Z,92483.00
KMIA,Miami International,KXHIGHMIA,KXHIGHMIA-26APR05,2026-04-05,KXHIGHMIA-26APR05-B83.5,83° to 84°,83° to 84°,yes,2026-04-06T04:59:00Z,44708.00
KMSP,Minneapolis St Paul,KXHIGHTMIN,KXHIGHTMIN-26APR05,2026-04-05,KXHIGHTMIN-26APR05-B52.5,52° to 53°,52° to 53°,yes,2026-04-06T06:00:00Z,10649.00
KMSY,New Orleans Armstrong,KXHIGHTNOLA,KXHIGHTNOLA-26APR05,2026-04-05,KXHIGHTNOLA-26APR05-B72.5,72° to 73°,72° to 73°,yes,2026-04-06T06:00:00Z,3582.00
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR05,2026-04-05,KXHIGHNY-26APR05-T60,59° or below,59° or below,yes,2026-04-06T04:59:00Z,65418.00
KOKC,Oklahoma City Will Rogers,KXHIGHTOKC,KXHIGHTOKC-26APR05,2026-04-05,KXHIGHTOKC-26APR05-B69.5,69° to 70°,69° to 70°,yes,2026-04-06T06:00:00Z,8035.00
KORD,Chicago OHare,KXHIGHCHI,KXHIGHCHI-26APR05,2026-04-05,KXHIGHCHI-26APR05-B52.5,52° to 53°,52° to 53°,yes,2026-04-06T05:59:00Z,30648.00
KPHL,Philadelphia International,KXHIGHPHIL,KXHIGHPHIL-26APR05,2026-04-05,KXHIGHPHIL-26APR05-B73.5,73° to 74°,73° to 74°,yes,2026-04-06T04:59:00Z,12364.00
KPHX,Phoenix Sky Harbor,KXHIGHTPHX,KXHIGHTPHX-26APR05,2026-04-05,KXHIGHTPHX-26APR05-B96.5,96° to 97°,96° to 97°,yes,2026-04-06T07:00:00Z,14853.00
KSAT,San Antonio International,KXHIGHTSATX,KXHIGHTSATX-26APR05,2026-04-05,KXHIGHTSATX-26APR05-B66.5,66° to 67°,66° to 67°,yes,2026-04-06T06:00:00Z,5831.00
KSEA,Seattle Tacoma,KXHIGHTSEA,KXHIGHTSEA-26APR05,2026-04-05,KXHIGHTSEA-26APR05-B67.5,67° to 68°,67° to 68°,yes,2026-04-06T08:00:00Z,8536.00
KSFO,San Francisco International,KXHIGHTSFO,KXHIGHTSFO-26APR05,2026-04-05,KXHIGHTSFO-26APR05-T79,80° or above,80° or above,yes,2026-04-06T08:00:00Z,25297.00
KATL,Atlanta Hartsfield,KXHIGHTATL,KXHIGHTATL-26APR06,2026-04-06,KXHIGHTATL-26APR06-B67.5,67° to 68°,67° to 68°,yes,2026-04-07T05:00:00Z,10210.00
KAUS,Austin Bergstrom,KXHIGHAUS,KXHIGHAUS-26APR06,2026-04-06,KXHIGHAUS-26APR06-B74.5,74° to 75°,74° to 75°,yes,2026-04-07T05:59:00Z,32187.00
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR06,2026-04-06,KXHIGHTDC-26APR06-B62.5,62° to 63°,62° to 63°,yes,2026-04-07T05:00:00Z,7815.00
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR06,2026-04-06,KXHIGHDEN-26APR06-B65.5,65° to 66°,65° to 66°,yes,2026-04-07T06:59:00Z,15866.00
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR06,2026-04-06,KXHIGHTDAL-26APR06-B74.5,74° to 75°,74° to 75°,yes,2026-04-07T06:00:00Z,7982.00
KHOU,Houston Hobby,KXHIGHTHOU,KXHIGHTHOU-26APR06,2026-04-06,KXHIGHTHOU-26APR06-B73.5,73° to 74°,73° to 74°,yes,2026-04-07T06:00:00Z,5657.00
KLAS,Las Vegas Reid International,KXHIGHTLV,KXHIGHTLV-26APR06,2026-04-06,KXHIGHTLV-26APR06-B87.5,87° to 88°,87° to 88°,yes,2026-04-07T08:00:00Z,11520.00
KLAX,Los Angeles International,KXHIGHLAX,KXHIGHLAX-26APR06,2026-04-06,KXHIGHLAX-26APR06-T77,78° or above,78° or above,yes,2026-04-07T07:59:00Z,165907.00
KMIA,Miami International,KXHIGHMIA,KXHIGHMIA-26APR06,2026-04-06,KXHIGHMIA-26APR06-B84.5,84° to 85°,84° to 85°,yes,2026-04-07T04:59:00Z,52730.00
KMSP,Minneapolis St Paul,KXHIGHTMIN,KXHIGHTMIN-26APR06,2026-04-06,KXHIGHTMIN-26APR06-B42.5,42° to 43°,42° to 43°,yes,2026-04-07T06:00:00Z,9132.00
KMSY,New Orleans Armstrong,KXHIGHTNOLA,KXHIGHTNOLA-26APR06,2026-04-06,KXHIGHTNOLA-26APR06-B67.5,67° to 68°,67° to 68°,yes,2026-04-07T06:00:00Z,5074.00
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR06,2026-04-06,KXHIGHNY-26APR06-B56.5,56° to 57°,56° to 57°,yes,2026-04-07T04:59:00Z,127750.00
KOKC,Oklahoma City Will Rogers,KXHIGHTOKC,KXHIGHTOKC-26APR06,2026-04-06,KXHIGHTOKC-26APR06-B72.5,72° to 73°,72° to 73°,yes,2026-04-07T06:00:00Z,10105.00
KORD,Chicago OHare,KXHIGHCHI,KXHIGHCHI-26APR06,2026-04-06,KXHIGHCHI-26APR06-B51.5,51° to 52°,51° to 52°,yes,2026-04-07T05:59:00Z,23230.00
KPHL,Philadelphia International,KXHIGHPHIL,KXHIGHPHIL-26APR06,2026-04-06,KXHIGHPHIL-26APR06-B59.5,59° to 60°,59° to 60°,yes,2026-04-07T04:59:00Z,6714.00
KPHX,Phoenix Sky Harbor,KXHIGHTPHX,KXHIGHTPHX-26APR06,2026-04-06,KXHIGHTPHX-26APR06-B86.5,86° to 87°,86° to 87°,yes,2026-04-07T07:00:00Z,10265.00
KSAT,San Antonio International,KXHIGHTSATX,KXHIGHTSATX-26APR06,2026-04-06,KXHIGHTSATX-26APR06-B74.5,74° to 75°,74° to 75°,yes,2026-04-07T06:00:00Z,8496.00
KSEA,Seattle Tacoma,KXHIGHTSEA,KXHIGHTSEA-26APR06,2026-04-06,KXHIGHTSEA-26APR06-B72.5,72° to 73°,72° to 73°,yes,2026-04-07T08:00:00Z,16694.00
KSFO,San Francisco International,KXHIGHTSFO,KXHIGHTSFO-26APR06,2026-04-06,KXHIGHTSFO-26APR06-B62.5,62° to 63°,62° to 63°,yes,2026-04-07T08:00:00Z,20511.00
KATL,Atlanta Hartsfield,KXHIGHTATL,KXHIGHTATL-26APR07,2026-04-07,KXHIGHTATL-26APR07-B78.5,78° to 79°,78° to 79°,yes,2026-04-08T05:00:00Z,20181.00
KAUS,Austin Bergstrom,KXHIGHAUS,KXHIGHAUS-26APR07,2026-04-07,KXHIGHAUS-26APR07-B77.5,77° to 78°,77° to 78°,yes,2026-04-08T05:59:00Z,100644.00
KBOS,Boston Logan,KXHIGHTBOS,KXHIGHTBOS-26APR07,2026-04-07,KXHIGHTBOS-26APR07-B46.5,46° to 47°,46° to 47°,yes,2026-04-08T05:00:00Z,18759.00
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR07,2026-04-07,KXHIGHTDC-26APR07-B58.5,58° to 59°,58° to 59°,yes,2026-04-08T05:00:00Z,13702.00
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR07,2026-04-07,KXHIGHDEN-26APR07-B72.5,72° to 73°,72° to 73°,yes,2026-04-08T06:59:00Z,23870.00
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR07,2026-04-07,KXHIGHTDAL-26APR07-B73.5,73° to 74°,73° to 74°,yes,2026-04-08T06:00:00Z,9750.00
KHOU,Houston Hobby,KXHIGHTHOU,KXHIGHTHOU-26APR07,2026-04-07,KXHIGHTHOU-26APR07-B75.5,75° to 76°,75° to 76°,yes,2026-04-08T06:00:00Z,6863.00
KLAS,Las Vegas Reid International,KXHIGHTLV,KXHIGHTLV-26APR07,2026-04-07,KXHIGHTLV-26APR07-B90.5,90° to 91°,90° to 91°,yes,2026-04-08T08:00:00Z,11995.00
KLAX,Los Angeles International,KXHIGHLAX,KXHIGHLAX-26APR07,2026-04-07,KXHIGHLAX-26APR07-B70.5,70° to 71°,70° to 71°,yes,2026-04-08T07:59:00Z,69198.00
KMIA,Miami International,KXHIGHMIA,KXHIGHMIA-26APR07,2026-04-07,KXHIGHMIA-26APR07-T81,82° or above,82° or above,yes,2026-04-08T04:59:00Z,60013.00
KMSP,Minneapolis St Paul,KXHIGHTMIN,KXHIGHTMIN-26APR07,2026-04-07,KXHIGHTMIN-26APR07-B43.5,43° to 44°,43° to 44°,yes,2026-04-08T06:00:00Z,9557.00
KMSY,New Orleans Armstrong,KXHIGHTNOLA,KXHIGHTNOLA-26APR07,2026-04-07,KXHIGHTNOLA-26APR07-B75.5,75° to 76°,75° to 76°,yes,2026-04-08T06:00:00Z,3742.00
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR07,2026-04-07,KXHIGHNY-26APR07-T55,56° or above,56° or above,yes,2026-04-08T04:59:00Z,57710.00
KOKC,Oklahoma City Will Rogers,KXHIGHTOKC,KXHIGHTOKC-26APR07,2026-04-07,KXHIGHTOKC-26APR07-B70.5,70° to 71°,70° to 71°,yes,2026-04-08T06:00:00Z,13737.00
KORD,Chicago OHare,KXHIGHCHI,KXHIGHCHI-26APR07,2026-04-07,KXHIGHCHI-26APR07-B38.5,38° to 39°,38° to 39°,yes,2026-04-08T05:59:00Z,33748.00
KPHL,Philadelphia International,KXHIGHPHIL,KXHIGHPHIL-26APR07,2026-04-07,KXHIGHPHIL-26APR07-B56.5,56° to 57°,56° to 57°,yes,2026-04-08T04:59:00Z,8323.00
KPHX,Phoenix Sky Harbor,KXHIGHTPHX,KXHIGHTPHX-26APR07,2026-04-07,KXHIGHTPHX-26APR07-B93.5,93° to 94°,93° to 94°,yes,2026-04-08T07:00:00Z,12419.00
KSAT,San Antonio International,KXHIGHTSATX,KXHIGHTSATX-26APR07,2026-04-07,KXHIGHTSATX-26APR07-B78.5,78° to 79°,78° to 79°,yes,2026-04-08T06:00:00Z,6895.00
KSEA,Seattle Tacoma,KXHIGHTSEA,KXHIGHTSEA-26APR07,2026-04-07,KXHIGHTSEA-26APR07-B55.5,55° to 56°,55° to 56°,yes,2026-04-08T08:00:00Z,11559.00
KSFO,San Francisco International,KXHIGHTSFO,KXHIGHTSFO-26APR07,2026-04-07,KXHIGHTSFO-26APR07-B64.5,64° to 65°,64° to 65°,yes,2026-04-08T08:00:00Z,9324.00
KATL,Atlanta Hartsfield,KXHIGHTATL,KXHIGHTATL-26APR08,2026-04-08,KXHIGHTATL-26APR08-B69.5,69° to 70°,69° to 70°,yes,2026-04-09T05:00:00Z,7636.00
KAUS,Austin Bergstrom,KXHIGHAUS,KXHIGHAUS-26APR08,2026-04-08,KXHIGHAUS-26APR08-B82.5,82° to 83°,82° to 83°,yes,2026-04-09T05:59:00Z,35665.00
KBOS,Boston Logan,KXHIGHTBOS,KXHIGHTBOS-26APR08,2026-04-08,KXHIGHTBOS-26APR08-B40.5,40° to 41°,40° to 41°,yes,2026-04-09T05:00:00Z,13597.00
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR08,2026-04-08,KXHIGHTDC-26APR08-B55.5,55° to 56°,55° to 56°,yes,2026-04-09T05:00:00Z,6911.00
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR08,2026-04-08,KXHIGHDEN-26APR08-T71,70° or below,70° or below,yes,2026-04-09T06:59:00Z,23200.00
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR08,2026-04-08,KXHIGHTDAL-26APR08-B78.5,78° to 79°,78° to 79°,yes,2026-04-09T06:00:00Z,10745.00
KHOU,Houston Hobby,KXHIGHTHOU,KXHIGHTHOU-26APR08,2026-04-08,KXHIGHTHOU-26APR08-B79.5,79° to 80°,79° to 80°,yes,2026-04-09T06:00:00Z,13080.00
KLAS,Las Vegas Reid International,KXHIGHTLV,KXHIGHTLV-26APR08,2026-04-08,KXHIGHTLV-26APR08-B90.5,90° to 91°,90° to 91°,yes,2026-04-09T08:00:00Z,11288.00
KLAX,Los Angeles International,KXHIGHLAX,KXHIGHLAX-26APR08,2026-04-08,KXHIGHLAX-26APR08-B71.5,71° to 72°,71° to 72°,yes,2026-04-09T07:59:00Z,55297.00
KMSP,Minneapolis St Paul,KXHIGHTMIN,KXHIGHTMIN-26APR08,2026-04-08,KXHIGHTMIN-26APR08-B61.5,61° to 62°,61° to 62°,yes,2026-04-09T06:00:00Z,16230.00
KMSY,New Orleans Armstrong,KXHIGHTNOLA,KXHIGHTNOLA-26APR08,2026-04-08,KXHIGHTNOLA-26APR08-B77.5,77° to 78°,77° to 78°,yes,2026-04-09T06:00:00Z,3481.00
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR08,2026-04-08,KXHIGHNY-26APR08-B50.5,50° to 51°,50° to 51°,yes,2026-04-09T04:59:00Z,55613.00
KOKC,Oklahoma City Will Rogers,KXHIGHTOKC,KXHIGHTOKC-26APR08,2026-04-08,KXHIGHTOKC-26APR08-B75.5,75° to 76°,75° to 76°,yes,2026-04-09T06:00:00Z,9466.00
KORD,Chicago OHare,KXHIGHCHI,KXHIGHCHI-26APR08,2026-04-08,KXHIGHCHI-26APR08-T70,71° or above,71° or above,yes,2026-04-09T05:59:00Z,35551.00
KPHL,Philadelphia International,KXHIGHPHIL,KXHIGHPHIL-26APR08,2026-04-08,KXHIGHPHIL-26APR08-B55.5,55° to 56°,55° to 56°,yes,2026-04-09T04:59:00Z,9102.00
KPHX,Phoenix Sky Harbor,KXHIGHTPHX,KXHIGHTPHX-26APR08,2026-04-08,KXHIGHTPHX-26APR08-B98.5,98° to 99°,98° to 99°,yes,2026-04-09T07:00:00Z,15397.00
KSAT,San Antonio International,KXHIGHTSATX,KXHIGHTSATX-26APR08,2026-04-08,KXHIGHTSATX-26APR08-B80.5,80° to 81°,80° to 81°,yes,2026-04-09T06:00:00Z,10700.00
KSEA,Seattle Tacoma,KXHIGHTSEA,KXHIGHTSEA-26APR08,2026-04-08,KXHIGHTSEA-26APR08-B60.5,60° to 61°,60° to 61°,yes,2026-04-09T08:00:00Z,9620.00
KSFO,San Francisco International,KXHIGHTSFO,KXHIGHTSFO-26APR08,2026-04-08,KXHIGHTSFO-26APR08-B72.5,72° to 73°,72° to 73°,yes,2026-04-09T08:00:00Z,19105.00
